Temperature (K),Pression (Pa),Altitude above local surface (m),Monthly mean surface H2O layer (kg/m2),Monthly mean surface CO2 ice layer (kg/m2),Water vapor column (kg/m2),Water ice column (kg/m2),Water ice mixing ratio (mol/mol),Water ice effective radius (m),GCM perennial surface water ice (0 or 1),H column (kg/m2),H2 column (kg/m2),Electron number density (m-3),Total electronic content
141.112,294.781,10.0,3.23983,2628.9,1.01037e-06,2.2509e-05,6.0639e-06,5.18135e-06,0.0,2.41153e-08,0.000208246,1.11369,14094500000.0
141.684,362.306,10.0,0.0255137,692.429,1.04157e-06,5.72559e-05,9.84731e-06,5.77845e-06,0.0,2.29647e-08,0.000272285,1.46591,14355800000.0
142.2,332.631,10.0,0.035831,665.746,1.22053e-06,6.2957e-05,1.03099e-05,5.99904e-06,0.0,2.25657e-08,0.000211072,1.25697,17309100000.0
143.199,358.475,10.0,0.0637539,643.569,1.61317e-06,0.000106519,1.28882e-05,5.61707e-06,0.0,2.19663e-08,0.000201235,1.31662,25336000000.0
144.382,390.814,10.0,0.0718641,634.688,2.36417e-06,0.000178671,1.75009e-05,5.41429e-06,0.0,2.12991e-08,0.000193685,1.27865,39982500000.0
145.853,407.77,10.0,0.0463556,595.343,3.94977e-06,0.000256053,2.21351e-05,5.70561e-06,0.0,2.01455e-08,0.000180546,1.0547,60465900000.0
146.771,419.101,10.0,0.0311656,511.852,8.03112e-06,0.000358329,2.38977e-05,6.06691e-06,0.0,1.82817e-08,0.000171742,0.828678,80129400000.0
146.986,402.501,10.0,0.0392369,407.029,1.8528e-05,0.000434763,2.32703e-05,6.53088e-06,0.0,1.55245e-08,0.000154623,0.657553,92183500000.0
148.146,465.935,10.0,0.037641,273.351,5.28398e-05,0.000656657,2.05448e-05,7.16637e-06,0.0,1.23842e-08,0.000172457,0.565597,98408300000.0
150.428,461.796,10.0,0.0392292,149.953,0.000148266,0.000671601,2.3412e-05,7.89072e-06,0.0,9.78221e-09,0.000163445,0.367988,91393800000.0
161.089,473.83,10.0,0.0303867,24.7561,0.000402397,0.000718261,3.27026e-05,8.70806e-06,0.0,8.15535e-09,0.000162469,0.532455,78471000000.0
178.105,420.902,10.0,0.0117404,0.0,0.000795462,0.000617272,3.93686e-05,9.64355e-06,0.0,7.22429e-09,0.000138489,0.836025,61988700000.0
186.663,437.293,10.0,0.00991925,0.0,0.00163681,0.000904014,7.72465e-05,1.27779e-05,0.0,6.7159e-09,0.000142109,0.859758,45157600000.0
194.37,472.082,10.0,0.00302159,0.0,0.00305947,0.00106366,0.00010451,1.44214e-05,0.0,6.53008e-09,0.000153057,0.874146,31721700000.0
202.033,509.428,10.0,1.60385e-06,0.0,0.00473607,0.000554483,3.78291e-05,1.69588e-05,0.0,6.57944e-09,0.000164688,0.877824,22378200000.0
208.876,465.859,10.0,8.66703e-08,0.0,0.00502887,6.31463e-05,2.61858e-06,1.47996e-05,0.0,6.75566e-09,0.000148547,0.747793,15982700000.0
213.754,476.665,10.0,1.10346e-10,0.0,0.00563311,1.26043e-05,4.87447e-08,0.0,0.0,7.01418e-09,0.000151111,0.713173,12112800000.0
217.29,474.056,10.0,8.17885e-16,0.0,0.0061199,1.3193e-05,1.48046e-10,0.0,0.0,7.31378e-09,0.000149214,0.637219,9511810000.0
